Title,Album,Era,Lead vocal,Highest chart position,Words in Title,Cover,
"Good Morning, Good Morning",Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),John,100+,4,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Lucy in the Sky with Diamonds,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),John,100+,6,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
A Day in the Life,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),"John, Paul",100+,5,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Sgt. Pepper's Lonely Hearts Club Band (Reprise),Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),"John, Paul, George",71,7,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Fixing a Hole,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Getting Better,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Lovely Rita,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Sgt. Pepper's Lonely Hearts Club Band,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,71,6,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
She's Leaving Home,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
When I'm Sixty-Four,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
With a Little Help from My Friends,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Ringo,71,7,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Old Brown Shoe,Single,Late Beatles (1968-1970),George,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
The Inner Light,Single,Late Beatles (1968-1970),George,96,3,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Bad Boy,Single,Beatlemania (1963-1965),John,100+,2,1​,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Slow Down,Single,Beatlemania (1963-1965),John,25,2,1​,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
